address,Latest Resulting Balance (Wei),lastZeroBalanceTimestamp
0x6e20D8356fB3B05CF113c3Bb849394e702162013,7573043945390247997317,1681873230
0x7249896b5eAbEb28074c47eAF74Cd7dCc305360F,305962565452396252,1680331785
0x6472cd12d62aE74e5C73B0154B0792bFc11d57d0,741181032677837163267,1702384960
0xE8ddeE82e2ee2661c6Adf11FAA6C99555e301DC0,15670551689293418404083,1650367050
0xAA84bdcDF97fE9b1a79099958200FE0357c0a850,12994707898379343332440,1711663920
0x43f2dA6f301A87FCCD2962C82bB5EB9164919CB4,1846426898735774050979800,1721158675
0x3FEBfaa0ccbC8eF3B1EF2772E2f26Ad2dcDC4038,2227791630620857442696,1720774130
0x02637de7848f1Fb1F4D6764abf68E01Ae2Df238A,103879424028006793772764,1682429240
0xeE609ba9df4953a288DdF18E3A750dA894bcC65c,756851249797525346258,1683809685
0x71a571962597c1872B2FdB16cd605aB5a313B81c,166185676955404848574172,1705907510
0x70484b20da4c958B88bF5567D45FB0f4B65fb7a1,1045472289112057789596786,1689090540
0x2D0ee8e5D45f3b4AD78b2592a0b4a1863fD51786,757138760512250295759,1681739885
0xCb32ba4D4A1FB0D398abe00575405f6A43438365,9372743809291679464793,1650554730
0x06cD940933CC1311DD006f4FA2596733a58f8648,2667895003383845966874,1640342305
0x336d6B0C42DDdAC697D391348EE3aC9C1dadd609,12067709366732550043561,1639966400
0xC338fDFc5870cB2AfBa09BF4842a1994bE36CBD2,753488953427091452426,1683976890
0x5FE7670DCE5EEe74fe3c26341F576b32538c5E22,370163292064734671,1690365755
0x7b5263b9820aB064709d5B579d9A15932d18eeF4,6333376319964264242726,1718949855
0x45b244E005C9fF045cA37e90eB829F684160284F,21058278187289682869499,1708197185
0x34F1fcaB0E7661a1F78A0b34575Df856e19C3B38,1144819579146048831921,1681631080
0xE2233645c360684141794F7Be0792F823477E65e,1056008590386667968904214,1653498005
0x60bBa9ca40D4A5ef331b6065dC58a13c91a67B3C,778671446513617483893,1692613735
0x1044d82Fe437799E53C2083De75CB4a2EC16858b,17615919663988191626070,1643722410
0xfDCa82fa20134dce5dF8fcF1BBcC753bB942d682,59757662533748628133979,1652869335
0x3bC85299Da4319A36DAeB1AcA9eBB8edd81B6797,94725321053659243485525,1705923505
0xaD5DBD9a843801164732353f8555A90db13dC0cd,11918875168882552705283,1666508850
0x5656d7F1040268e4C8ef4A2Ae715De2b52EB44c2,47773155927890242630020,1655729585
0xa113bDAA3F45F749dA29c1E469B4e0c14e2BF919,646008536604814786530,1714155845
0x70e5D229fb6d3F121DE36b828E54a1Ee7D00Ee32,18474724532944767586733,1642615530
0x99Fe582d44e3f84c09BDCf10B9F7a876eD1129a3,639939874944117003244,1721141850
0x4fD77B7b7eB917B759912371DDf6fAd5a29Feb3E,757389097133226532609,1720045940
0x829da5a886Bcb2f7A289BE30980F964333BE4582,946200628439771250676,1689730305
0x476Be6B54668FDAf31185C5909Cb8703fe086f34,26864442325119041717814,1674169035
0xE7B9dBfC2717edfb52B5DB38Cc0968ca058FE2fe,875917171066696215624,1712137665
0x3f85c65b638709e68f356f78da9A4ac91578375B,358372858283498,1721695430
0x5a88bca52380e222d0bC355f0FE036Ed2d0d10B4,1018590562283825318653,1720837855
0xD083091D05d859423a159a65f12aAC0602568FBB,41211468446867413832911,1685713605
0xc3A192b4A637fcD20c87e91eEB561121C28d4028,243934009092123686057662,1652106980
0xe8d204D3B12E643888DEBD525e2f8034fC7EB855,408249492776016041354130,1721899890
0xAF73226F0343474480644ADd818130ef8d6214c5,31302514352433393487228,1720535075
0x5415154958268258eDA49313EA88822e1E83795F,3333990187008180,1720429035
0x4fd926E6BF71A5F98Ea28E9d326B3D95aEC8508C,1576309081263246163869,1675749390
0xDfc2c13070Cf0E07e950b3793DEf6C1044F35ECc,47639345154809455858402,1678162025
0x7894eDa8Fe9006b76f95E5F3A5D45e55b698b0E1,1255557220770381206450,1718913360
